Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings,82,19830,43.1,87.3,13.6,36.9,29.5,50.3,19.6,24.8,9.4,32.6,42,27,6.9,3.3,13.3,19.5,119.4
Boston Celtics,82,19980,42.2,88.8,16,42.6,26.2,46.2,17.5,21.6,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118
New York Knicks,82,19955,42.6,90.7,12.8,36.3,29.8,54.5,19.7,25.8,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8
Philadelphia 76ers,82,19880,41.7,85.6,12.9,33.3,28.8,52.3,21.4,25.6,8.9,32.9,41.8,25.7,7.9,4.8,14,20.9,117.7
Denver Nuggets,82,19755,44.2,87.8,12,31.7,32.3,56.1,17.1,22.7,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6
Dallas Mavericks,82,19930,40.9,86.2,15.5,41.9,25.4,44.2,19.4,25.7,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8
Atlanta Hawks,82,19855,43.9,90.9,10.6,30.1,33.3,60.9,18.2,22.2,11,32.6,43.7,24.6,7,4.8,12.7,18.5,116.6
Cleveland Cavaliers,82,19880,43,88.1,12,32.7,31,55.4,18.2,23.3,10,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1
Golden State Warriors,82,19830,42.1,88,16.2,42.2,25.9,45.9,15.6,19.7,10.3,33.3,43.6,29.1,7,3.8,15.9,20.9,116.1
Utah Jazz,82,19805,42,88.8,13.2,37.4,28.8,51.4,18.5,23.6,11.7,33.7,45.4,25.7,6,5.2,15.2,20.2,115.8
Toronto Raptors,82,19805,42.9,93.5,11,32.8,31.9,60.7,18.8,24,13,31,44,24.5,9.6,5.3,11.9,20.5,115.5
Milwaukee Bucks,82,19830,42.2,89.2,14.7,39.8,27.5,49.4,16.4,22.1,11,37,48,25.5,6.3,4.9,14.4,17.8,115.4
Oklahoma City Thunder,82,19855,42.3,90.8,11.9,33.5,30.4,57.3,18.8,23.3,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2
Memphis Grizzlies,82,19780,43,90.6,11.8,33.7,31.2,56.9,17.2,23.5,11.9,34,45.9,25.6,8.2,5.7,13.4,19.7,115.1
Phoenix Suns,82,19780,42.7,91.3,12.4,33,30.3,58.2,17.4,22,12,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1
Los Angeles Clippers,82,19830,41.6,87.2,12.9,33.8,28.8,53.4,18.9,24.2,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,115
Brooklyn Nets,82,19730,42,86.3,13,34.3,29.1,52,17.9,22.4,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115
Portland Trail Blazers,82,19730,40.9,86.4,13,35.7,27.9,50.7,19.9,24.9,9.6,31.5,41,24.5,6.8,4.6,14.6,20.3,114.8
Indiana Pacers,82,19755,41.4,88.3,13.4,36.4,28,51.8,18.4,23.4,10,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6
Los Angeles Lakers,82,19880,41.9,87,10.5,30.5,31.4,56.5,20.2,26,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5
Washington Wizards,82,19755,42.6,87.9,11.4,32.1,31.2,55.8,17.8,22.7,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19,114.4
New Orleans Pelicans,82,19855,42.1,87.6,11,30.1,31.1,57.5,19.3,24.4,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4
Minnesota Timberwolves,82,19830,42.1,85.9,11.9,32.7,30.2,53.1,17.6,23.3,9,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7
Chicago Bulls,82,19905,42.7,87.1,10.4,29,32.2,58.1,17.7,21.9,8.5,34,42.5,24.5,7.9,4.5,13.4,19,113.5
Miami Heat,82,19805,40.5,88,12.3,35.9,28.1,52.1,19.7,23.7,10,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113
Orlando Magic,82,19780,40.6,86.4,10.8,31.2,29.8,55.3,19.6,25,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6
Houston Rockets,82,19755,40.8,89.4,10.5,32.1,30.3,57.3,19.2,25.5,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4
Detroit Pistons,82,19805,39.7,87.4,11.4,32.5,28.3,54.8,19.9,25.8,11.2,31.4,42.6,23.1,7,3.8,15.1,22.2,110.7
San Antonio Spurs,82,19855,42,90.3,10.8,31.4,31.2,58.9,15.4,20.7,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2
Charlotte Hornets,82,19830,40.6,89,10.6,32,30.1,56.9,17.4,23.2,10.8,33,43.8,24.7,7.6,5.1,14,19.9,109.2
