Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks*,72,17430,2730,6209,.440,864,2565,.337,1866,3644,.512,1216,1598,.761,695,2478,3173,1696,472,391,918,1286,7540
2,Los Angeles Lakers*,72,17455,2862,6221,.460,818,2321,.352,2044,3900,.524,1144,1475,.776,634,2392,3026,1776,593,327,1095,1530,7686
3,Utah Jazz*,72,17355,2943,6581,.447,783,2293,.341,2160,4288,.504,1047,1364,.768,706,2362,3068,1604,554,282,827,1365,7716
4,Los Angeles Clippers*,72,17280,2887,6223,.464,833,2341,.356,2054,3882,.529,1157,1489,.777,659,2307,2966,1650,510,304,925,1303,7764
5,Miami Heat*,72,17380,2815,6137,.459,1027,2814,.365,1788,3323,.538,1122,1435,.782,684,2404,3088,1857,541,287,1085,1414,7779
6,Philadelphia 76ers*,72,17430,2835,6259,.453,857,2378,.360,1978,3881,.510,1253,1640,.764,702,2388,3090,1694,521,335,1122,1509,7780
7,Phoenix Suns*,72,17480,2916,6248,.467,836,2359,.354,2080,3889,.535,1213,1560,.778,674,2401,3075,1652,498,258,981,1294,7881
8,Denver Nuggets*,72,17480,2883,6149,.469,934,2570,.363,1949,3579,.545,1229,1589,.773,652,2314,2966,1864,540,325,1014,1379,7929
9,Dallas Mavericks*,72,17305,2885,6269,.460,925,2537,.365,1960,3732,.525,1238,1621,.764,704,2460,3164,1631,527,264,908,1446,7933
10,Detroit Pistons,72,17430,2980,6260,.476,817,2260,.362,2163,4000,.541,1221,1607,.760,717,2475,3192,1785,578,419,1004,1469,7998
11,Boston Celtics*,72,17380,2875,6191,.464,925,2473,.374,1950,3718,.524,1329,1692,.785,677,2382,3059,1732,531,334,1015,1389,8004
12,Atlanta Hawks*,72,17405,2971,6418,.463,858,2460,.349,2113,3958,.534,1219,1519,.803,719,2352,3071,1754,557,363,886,1422,8019
13,Charlotte Hornets,72,17355,2972,6346,.468,1042,2847,.366,1930,3499,.552,1034,1387,.745,766,2487,3253,1951,582,347,1062,1340,8020
14,Chicago Bulls,72,17380,2983,6313,.473,829,2328,.356,2154,3985,.541,1238,1600,.774,624,2410,3034,1737,614,364,917,1277,8033
15,Toronto Raptors,72,17305,2809,6099,.461,1001,2641,.379,1808,3458,.523,1426,1785,.799,720,2582,3302,1872,477,402,1161,1405,8045
16,Memphis Grizzlies*,72,17405,2953,6387,.462,926,2526,.367,2027,3861,.525,1251,1588,.788,704,2515,3219,1827,552,377,1068,1318,8083
17,Cleveland Cavaliers,72,17430,3024,6245,.484,893,2334,.383,2131,3911,.545,1143,1468,.779,712,2437,3149,1828,613,425,1033,1451,8084
18,Golden State Warriors,72,17305,2897,6408,.452,891,2481,.359,2006,3927,.511,1426,1834,.778,769,2635,3404,1711,567,312,1083,1406,8111
19,San Antonio Spurs,72,17480,3055,6469,.472,885,2350,.377,2170,4119,.527,1128,1489,.758,732,2681,3413,1784,454,369,949,1338,8123
20,Orlando Magic,72,17330,3039,6456,.471,987,2649,.373,2052,3807,.539,1093,1390,.786,704,2706,3410,1874,548,384,917,1342,8158
21,Brooklyn Nets*,72,17405,3017,6573,.459,951,2607,.365,2066,3966,.521,1228,1584,.775,753,2348,3101,1729,550,330,908,1361,8213
22,Milwaukee Bucks*,72,17330,3052,6688,.456,1068,2778,.384,1984,3910,.507,1053,1350,.780,693,2435,3128,1804,507,348,947,1320,8225
23,Portland Trail Blazers*,72,17305,3007,6355,.473,928,2494,.372,2079,3861,.538,1289,1638,.787,710,2558,3268,1794,440,333,892,1374,8231
24,New Orleans Pelicans,72,17430,3016,6431,.469,1043,2745,.380,1973,3686,.535,1197,1516,.790,644,2366,3010,1866,555,426,961,1534,8272
25,Indiana Pacers,72,17455,3076,6576,.468,828,2265,.366,2248,4311,.521,1325,1695,.782,813,2555,3368,1877,535,380,1066,1306,8305
26,Oklahoma City Thunder,72,17355,3123,6603,.473,978,2688,.364,2145,3915,.548,1102,1426,.773,729,2663,3392,1856,647,378,942,1336,8326
27,Houston Rockets,72,17305,3075,6411,.480,966,2532,.382,2109,3879,.544,1286,1642,.783,713,2713,3426,1855,611,378,1055,1388,8402
28,Sacramento Kings,72,17305,3139,6438,.488,893,2349,.380,2246,4089,.549,1283,1631,.787,767,2489,3256,1823,545,336,988,1348,8454
29,Minnesota Timberwolves,72,17405,3098,6426,.482,945,2412,.392,2153,4014,.536,1332,1695,.786,718,2579,3297,1932,550,398,1102,1432,8473
30,Washington Wizards*,72,17405,3103,6594,.471,896,2425,.369,2207,4169,.529,1428,1828,.781,738,2580,3318,1762,587,348,1056,1586,8530
